smiles,CAS_number,formula,IUPAC_Name,property,temperature,value,smiles_base
CCCC(CC)(CC)CCC,17302-21-5,C11H24,"4,4-diethylheptane",octanol_water_partition_coefficient,-,7.04
N(CCC)CCC,142-84-7,C6H15N,di-propylamine,octanol_water_partition_coefficient,-,1.67
CCCC(CC)(CC)CC,17302-02-2,C10H22,"3,3-diethylhexane",octanol_water_partition_coefficient,-,5.11
[H]C(Cl)=C([H])Cl,156-59-2,C2H2Cl2,"cis-1,2-dichloroethylene",octanol_water_partition_coefficient,-,1.86
CCCCCCCN(CC)CC,26981-81-7,C11H25N,diethylheptylamine,octanol_water_partition_coefficient,-,3.38
CCC(CC)C(CC)CC,19398-77-7,C10H22,"3,4-diethylhexane",octanol_water_partition_coefficient,-,5.11
OC(CC(=O)C)(C)C,123-42-2,C6H12O2,diacetone alcohol,octanol_water_partition_coefficient,-,-0.34
CCCCCCN(CC)CC,44979-90-0,C10H23N,diethylhexylamine,octanol_water_partition_coefficient,-,2.95
C(Cl)Cl,'75-09-2',CH2Cl2,dichloromethane,octanol_water_partition_coefficient,-,1.25
CCCCCCC(O)CCC,2051-31-2,C10H22O,4-decanol,octanol_water_partition_coefficient,-,3.94
CC(C)(C)OC(C)(C)C,6163-66-2,C8H18O,di-tert-butyl ether,octanol_water_partition_coefficient,-,2.79
ClCCCl,107-06-2,C2H4Cl2,"1,2-dichloroethane",octanol_water_partition_coefficient,-,1.48
Brc1cccc(Br)c1,108-36-1,C6H4Br2,m-dibromobenzene,octanol_water_partition_coefficient,-,3.75
[nH]1c2c(c3c1cccc3)cccc2,86-74-8,C12H9N,dibenzopyrrole,octanol_water_partition_coefficient,-,3.72
OC(CCCCCCCC)C,1120-06-5,C10H22O,2-decanol,octanol_water_partition_coefficient,-,4.13
CCCCCCCCCCC1CCCC1,1795-21-7,C15H30,decylcyclopentane,octanol_water_partition_coefficient,-,7.68
[H]C(Cl)=C([H])Cl,156-60-5,C2H2Cl2,"trans-1,2-dichloroethylene",octanol_water_partition_coefficient,-,2.09
CCC(CC)(CC)CO,13023-60-4,C8H18O,"2,2-diethyl-1-butanol",octanol_water_partition_coefficient,-,2.54
